ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Experimental study of uranium(6+) sorption on the zeolite mineral clinoptilotite1993,ppmd93,not found,1993,Materials Research Society Symposium Proceedings,294,777-782,"Pabalan, R. T. , Prikryl, J. D. , Muller, P. M. and Dietrich, T. B.",Experimental study of uranium(6+) sorption on the zeolite mineral clinoptilotite
,Adsorption of Technetium on Selected Inorganic Ion-Exchange Materials and on a Range of Naturally Occurring Minerals Under Oxic Conditions1981,pm81,http://dx.doi.org/10.1016/0022-1902(81)80654-9,1981,Journal of Inorganic and Nuclear Chemistry,43,2979-2984,"Palmer, D. A. and Meyer, R. E.",Adsorption of Technetium on Selected Inorganic Ion-Exchange Materials and on a Range of Naturally Occurring Minerals Under Oxic Conditions
,Adsorption of Technetium on Selected Inorganic Ion-Exchange Materials and on a Range of Naturally Occurring Minerals Under Oxic Conditions1981,pm81,http://dx.doi.org/10.1016/0022-1902(81)80654-9,1981,Journal of Inorganic and Nuclear Chemistry,11,2979-2984,"Palmer, D. A. and Meyer, R. E.",Adsorption of Technetium on Selected Inorganic Ion-Exchange Materials and on a Range of Naturally Occurring Minerals Under Oxic Conditions
,Adsorption of Technetium on Selected Inorganic Ion-exchange Materials and on a Range of Naturally Occurring Minerals under Oxic Conditions1981,pm81,http://dx.doi.org/10.1016/0022-1902(81)80654-9,1981,Journal of Inorganic and Nuclear Chemistry,43,2979-2984,"Palmer, D. A. and Meyer, R. E.",Adsorption of Technetium on Selected Inorganic Ion-exchange Materials and on a Range of Naturally Occurring Minerals under Oxic Conditions
,"Sorption and Desorption Behavior of 60Co, 85Sr and 137Cs in a Porous Tuff_x000B_-Mechanisms and Kinetics-1992",pwtk92,not found,1992,Journal of Nuclear Science and Technology,29,1184-1193,"Park, C. K. , Woo, S. I. , Tanaka, T. and Kamiyama, H.","Sorption and Desorption Behavior of 60Co, 85Sr and 137Cs in a Porous Tuff_x000B_-Mechanisms and Kinetics-"
,Sorption-capacity limited retardation of radionuclides transport in water-saturated packing materials.1985,ps85,http://dx.doi.org/10.1557/PROC-44-369,1985,Materials Research Society Symposium Proceedings,44,369-376,"Pescatore, C. and Sullivan, T.",Sorption-capacity limited retardation of radionuclides transport in water-saturated packing materials.
,Measurement of Distribution Coefficients Using a Radial Injection Dual-Tracer Test1981,pjim81,http://dx.doi.org/10.1029/WR017i003p00529,1981,Water Resources Research,NA,529-544,"Pickens, J. F. , Jackson, R. E. , Inch, K. J. and Merritt, W. F.",Measurement of Distribution Coefficients Using a Radial Injection Dual-Tracer Test
,The solubility and sorption of nickel and niobium under high pH conditions.1990,ps90,not found,1990,NA,NA,NA,"Pilkington, N. J. and Stone, N. S.",The solubility and sorption of nickel and niobium under high pH conditions.
,Scientific Basis for Nuclear Waste Management-VII1983,p83,not found,1983,NA,NA,NA,"Pinnioja, S.",Scientific Basis for Nuclear Waste Management-VII
,Comparison of batch and autoradographic methods in sorption studies of radionuclides in rock and mineral samples1984,pjm84,not found,1984,Materials Research Society Symposium Proceedings,26,979-984,"Pinnioja, T., Jaakkola, T. and Miettinen, J.K.",Comparison of batch and autoradographic methods in sorption studies of radionuclides in rock and mineral samples
,"Experimental Studies of Cs, Sr, Ni and Eu Sorption on Na-illite and the Modelling of Cs Sorption1999",pbb99,not found,1999,PSI Bericht,NA,all page,"Poinssot, C. , Baeyens, B. and Bradbury, M. H.","Experimental Studies of Cs, Sr, Ni and Eu Sorption on Na-illite and the Modelling of Cs Sorption"
,Uranium sorption on a-alumina: Effects of pH and surface-area/solution-volume ratio1994,pptl94,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.291,1994,Radiochimica Acta,66/67,291-296,"Prikryl, J. D. , Pabalan, R. T. , Turner, D. R. and Leslie, B. W.",Uranium sorption on a-alumina: Effects of pH and surface-area/solution-volume ratio
,Uranium(VI) Sorption Behaviour on Silicate Mineral Mixtures2001,pjtp01,not found,2001,Jouranal of Contaminant Hydrology,47,241-253,"Prikryl, J. , Jain, A. , Turner, D. and Pabalan, R.",Uranium(VI) Sorption Behaviour on Silicate Mineral Mixtures
,"Determination of the solubilities and degrees of sorption of uranium,plutonium,americium and neptunium under near-field conditions for disposal.1984",prs84,not found,1984,AERE-R 11391,NA,NA,"Pryke, D. C. , Ree, J. H. and Streeton, R. J. W.","Determination of the solubilities and degrees of sorption of uranium,plutonium,americium and neptunium under near-field conditions for disposal."
,"Effects of pH, solid/solution ratio, ionic strength, and organic acids on Pb and Cd sorption on kaolinite1991",ppce91,http://dx.doi.org/10.1007/BF00282905,1991,"Water, Air, Soil Pollution",57-58,423-430,"Puls, R.W., Powell, R.M., Clark, D. and Eldred, C.J.","Effects of pH, solid/solution ratio, ionic strength, and organic acids on Pb and Cd sorption on kaolinite"
,Sorption of Eu(III)/Cm(III) on Camontmorillonite and Na-illite Part 1: batch sorption and time resolved laser fluorescence spectroscopy experiments2005,rtpbgbb05,not found,2005,Geochimica et Cosmochimica Acta,69,5393?5402,"Rabung, Th. , Pierret, M. C. , Bauer, A. , Geckeis, H. , Bradbury, M. H. and Baeyens, B.",Sorption of Eu(III)/Cm(III) on Camontmorillonite and Na-illite Part 1: batch sorption and time resolved laser fluorescence spectroscopy experiments
,Sorption of Caesium and Strontium on Clinoptilolite- and Mordenite-containing Sedimentary Rocks1998,rmfms98,http://dx.doi.org/10.1007/BF02389445,1998,Journal of Radioanalytical and Nuclear Chemistry ,229,49-55,"Rajec, P. , Macasek, F. , Feder, M. , Misaelides, P. and Samajova, E.",Sorption of Caesium and Strontium on Clinoptilolite- and Mordenite-containing Sedimentary Rocks
,"Retention of long-lived radionuclides in different neutral materials, Proceedings of the Workshop on the Migration of Long-lived Radionuclides in the Geosphere1979",rr79,not found,1979,NA,NA,301-322,"Rancon, D. and Rochon, J.","Retention of long-lived radionuclides in different neutral materials, Proceedings of the Workshop on the Migration of Long-lived Radionuclides in the Geosphere"
,Comparative Study of Radioactive Iodine Behavior in Soils under Various Experimental and Natural Conditions1988,r88,not found,1988,Radiochimica Acta,44/45,187-193,"Rancon, D.",Comparative Study of Radioactive Iodine Behavior in Soils under Various Experimental and Natural Conditions
,Waste Isolation Safety Assessment Program - Controlled Sample Program Publication Number 2: Interlaboratory Comparison of Batch KD Values1979,rs79,not found,1979,NA,NA,NA,"Relyea, J. F. and Serne, R. J.",Waste Isolation Safety Assessment Program - Controlled Sample Program Publication Number 2: Interlaboratory Comparison of Batch KD Values
,Evaluation of Distribution Coefficients for the Prediction of Strontium and Cesium Migration in a Uniform Sand1982,rgc82,http://dx.doi.org/10.1139/t82-008,1982,Canadian Geotechnical Journal ,19,139-141,"Reynolds, W.D. , Gillham, R. W. and Cherry, J. A.",Evaluation of Distribution Coefficients for the Prediction of Strontium and Cesium Migration in a Uniform Sand
,The effect of pH on the uptake of radioactive isotopes from solution by a soil1957,r57,http://dx.doi.org/10.2136/sssaj1957.03615995002100040009x,1957,Soil Science Society Proceedings,NA,389-392,"Rhodes, D.W.",The effect of pH on the uptake of radioactive isotopes from solution by a soil
,Retardation capacity of organophilic bentonite for anionic fission products.2001,rbds01,http://dx.doi.org/10.1016/S0169-7722(00)00154-6,2001,Journal of Contaminant Hydrology,NA,255-264,"Riebe, B. , Bors, J. and Dultz, St.",Retardation capacity of organophilic bentonite for anionic fission products.
,Surface Interactions of Actinides with Alumina Colloids1988,rbmb88,http://dx.doi.org/10.1524/ract.1988.4445.1.73,1988,Radiochimica Acta,44/45,73-75,"Righetto L. , Bidoglio G. , Marcandalli B. , Bellobono I. R.",Surface Interactions of Actinides with Alumina Colloids
,Laboratoty studies on the retention and transfer of fission products and transuranics in porous media1980,rrg80,not found,1980,NA,NA,271-315i,"Rochon, J., Rancon, D., and Gourmel, J.P.",Laboratoty studies on the retention and transfer of fission products and transuranics in porous media
,"Dependence of Radionuclide Sorption on Sample Granding Surface Area, and Water Composition1993",rm93,not found,1993,High Level Radioactive Waste Management,2,1509-1516,"Rogers, P. S. Z. and Meijer, A.","Dependence of Radionuclide Sorption on Sample Granding Surface Area, and Water Composition"
,Measurement of Fission Product Sorption Parameters for Hanford 200 Area Sediment Types1978,rbs78,not found,1978,NA,NA,NA,"Routson, R. C. , Barney, G. S. and Seil, R. O.",Measurement of Fission Product Sorption Parameters for Hanford 200 Area Sediment Types
,Sorption/desorption of cesium in sulfate-resistant Portland cements2005,rjs05,not found,2005,Journal of Radioanalytical and Nuclear Chemistry ,264,501-504,"Rudin, M. J. , Johnson, W. H. and Steinberg, S. M.",Sorption/desorption of cesium in sulfate-resistant Portland cements
,About the distribution coefficients of some barrier materials1989,rwmctcjgcchlmmcmhi89,not found,1989,NA,NA,NA,"Radioactive Waste Management Center, Toshiba Corporation, JGC Corporation, Hitachi Ltd., Mitsubishi Materials Corporation, Mitsubishi Heavy Industries",About the distribution coefficients of some barrier materials
,Natural barrier safety proof examination report at 1990 year1991,rwmfrctnhmmcmhi91,not found,1991,NA,NA,NA,"Radioactive Waste Management Funding and Research Center, Toshiba, Nikki, Hitachi, Mitsubishi Material Corporation, Mitsubishi Heavy Industries",Natural barrier safety proof examination report at 1990 year
,Report uranium waste disposal systems development1997,rwmfrc97,not found,1997,NA,NA,NA,Radioactive Waste Management Funding and Research Center,Report uranium waste disposal systems development
,Processus de Sorption et de Desorption des Radioisotopes sur les Materiaux Solides a Partir des Rejets Liquides et des Depots Atmospheriques1979,s79,not found,1979,NA,NA,NA,"Saas, A.",Processus de Sorption et de Desorption des Radioisotopes sur les Materiaux Solides a Partir des Rejets Liquides et des Depots Atmospheriques
,"Behavior of Cs, Np(?), Pu(?), and U(?) in Pore Water of Bentonite2006",skazs06,not found,2006,Radiochemistry,NA,488-492,"Sabodina, M. N. , Kalmykov, S. N. , Artem eva, K. A. , Zakharova, E. V. and Sapozhnikov, Y. A.","Behavior of Cs, Np(?), Pu(?), and U(?) in Pore Water of Bentonite"
,The Adorption Characteristics of Cobalt Combined with Ethylene-Diamine-Tetracetic Acid on Cement and Loam2001,sh01,not found,2001,Denryoku-Chuo-Kenkyusho-Houkoku,NA,NA,"Saeki, A. and Hironaga, M.",The Adorption Characteristics of Cobalt Combined with Ethylene-Diamine-Tetracetic Acid on Cement and Loam
,Adsorption Behavior of Np on Soil and Bentonite1988,skssm88,not found,1988,Nihon-Genshiryoku-Gakkai-yokousyu,NA,46,"Sakamoto, Y. , Konishi, M. , Shirahashi, K. , Senoo, M. and Moriyama, N.",Adsorption Behavior of Np on Soil and Bentonite
,Adsorption Behavior of Neptunium for Soil1990,skssm90,not found,1990,Radioactive Waste Management and the Nuclear Fuel Cycle,15,13-25,"Sakamoto, Y. , Konishi, M. , Shirahashi, K. , Senoo, M. and Moriyama, N.",Adsorption Behavior of Neptunium for Soil
,Sorption Behavior of Radium and Actinium on Soils2001,stomiig01,http://dx.doi.org/10.1557/PROC-663-1207,2001,Materials Research Society Symposium Proceedings,663,1207-1214,"Sakamoto, Y. , Takebe, S. , Ogawa, H. , Muraoka, S. , Ishii, T. , Inagawa, S. and Gunji, Y.",Sorption Behavior of Radium and Actinium on Soils
,Migration behavior of U(VI) in granite1986,s86,not found,1986,Natural barrier of land disposal,NA,29-35,"Sakamoto, Y.",Migration behavior of U(VI) in granite
,Influence of Carbonate on Sorptio of Np(V) onto Soil1994,s94,not found,1994,Journal of Nuclear Fuel Cycle and Environment,1,107-113,"Sakamoto, Y.",Influence of Carbonate on Sorptio of Np(V) onto Soil
,Evaluation of radionuclide transport: Effect of radionuclide sorption and solubility1982,sj82,http://dx.doi.org/10.1557/PROC-11-801,1982,NA,NA,801-810,"Salter, P.F. and Jacobs, G.K.",Evaluation of radionuclide transport: Effect of radionuclide sorption and solubility
,Sorption of Selected Radionuclides on Secondary Minerals Associated with the Columbia River Basalts1981,samg81,not found,1981,NA,NA,all page,"Salter, P. F. , Ames, L. L. and McGarrah, J. E.",Sorption of Selected Radionuclides on Secondary Minerals Associated with the Columbia River Basalts
,Sorption Behavior of Selected Radionuclides on Potential Backfill Material1982,s82,not found,1982,NA,NA,all page,"Salter, P. F.",Sorption Behavior of Selected Radionuclides on Potential Backfill Material
,Effect of Humic Acid on the Sorption of Sr(II) on Kaolinite2000,sjso00,http://dx.doi.org/10.1080/18811248.2000.9714882,2000,Journal of Nuclear Science and Technology,37,180-185,"Samadfam, M. , Jinkoku, T. , Sato, S. and Ohashi, H.",Effect of Humic Acid on the Sorption of Sr(II) on Kaolinite
,The adsorption of plutonium IV and V on goethite1985,sms85,http://dx.doi.org/10.1016/0016-7037(85)90230-3,1985,Geochimica et Cosmochimica Acta,49,2297-2307,"Sanchez, A. L. , Murray, J. W. and Sibley, T. H.",The adsorption of plutonium IV and V on goethite
,"Radionuclide cycling in natural waters: relevance of sorption kinetics, 3rd Int. Symp. Interactions between Sediments and Water1984",snloh84,not found,1984,NA,NA,18-27,"Santschi, P.H., Nyffeler, U.P., Li, Y.-H. and O Hara, P.","Radionuclide cycling in natural waters: relevance of sorption kinetics, 3rd Int. Symp. Interactions between Sediments and Water"
,Diffusion and adsorption studies on hardened cement paste and the effect of carbonation on diffusion rates.1992,sbps92,http://dx.doi.org/10.1016/0008-8846(92)90086-B,1992,Cement and Concrete Research ,22,439-444,"Sarott, F. A. , Bradbury, M. H. , Pandolfo, P. and Spieler, P.",Diffusion and adsorption studies on hardened cement paste and the effect of carbonation on diffusion rates.
,Sorption behavior of cesium in a concrete or mortar1996,sifia96,not found,1996,1996 SERNIA Symposium on Environmental Radioactive Nuclides Impact in Asia,NA,27-32,"Sasaki, T. , Idemitsu, K. , Furuya, H. , Inagaki, Y. and Arima, T.",Sorption behavior of cesium in a concrete or mortar
,Study on Adsorption and Diffusion Mechanism of Nuclides in Buffer Material and Geosphere1994,ss94,not found,1994,PNC Technical Report,NA,NA,"Sato, H. and Shibutani, T.",Study on Adsorption and Diffusion Mechanism of Nuclides in Buffer Material and Geosphere
,Diffusion Behavior for Se and Zr in Sodium-Bentonite1995,syy95,http://dx.doi.org/10.1557/PROC-353-269,1995,Materials Research Society Symposium Proceedings,353,269-276,"Sato, H. , Yu,i M. and Yoshikawa, H.",Diffusion Behavior for Se and Zr in Sodium-Bentonite
,Diffusion Behavior of Nuclides Considering Pathways in Fractured Crystalline Rocks1997,sstoay97,not found,1997,NA,NA,NA,"Sato, H. , Shibutani, T. , Tachi, Y. , Ota, K. , Amano, K. and Yui, M.",Diffusion Behavior of Nuclides Considering Pathways in Fractured Crystalline Rocks
,A Study on Diffusion and Migration Processes of Ions in Sedimentary Rock Matrix: Measurements of Distribution Coefficients of Cs+ and I- Ions onto Sandstone by a Batch Method2003,s03,not found,2003,JNC Technical Report,NA,NA,"Sato, H.",A Study on Diffusion and Migration Processes of Ions in Sedimentary Rock Matrix: Measurements of Distribution Coefficients of Cs+ and I- Ions onto Sandstone by a Batch Method
,The estimation of element behavior and distribution ratio on outside unsaturated soils1999,s99,not found,1999,Science research expenses subsidy encouragement study 1997-1998 (A) Study result report,NA,NA,"Satta, N.",The estimation of element behavior and distribution ratio on outside unsaturated soils
,Evaluation of the reversibility of iodide uptake by argillaceous rocks by the radial diffusion method2006,swm06,http://dx.doi.org/10.1524/ract.2006.94.9-11.699,2006,Radiochimica Acta,94,699-704,"Savoye, S. , Wittebroodt, C. and Michelot, J. L.",Evaluation of the reversibility of iodide uptake by argillaceous rocks by the radial diffusion method
